text,department,priority,emergency_score
Fire at a small paper storage unit; smoke is spreading now.,fire department,High,0
Snake found inside a bedroom in a house at Kothala village.,fire department,Medium,0
Stray dog fallen into a deep dry pit and cannot climb out.,fire department,Medium,0
Large beehive in a public park posing a threat to children.,fire department,Medium,0
Small grass fire near the railway station tracks currently.,fire department,Medium,0
Animal rescue: A monitor lizard entered a village kitchen.,fire department,Medium,0
Smoldering fire in a garbage dump near a residential area.,fire department,Medium,0
Bird trapped in high-tension electrical wires on the road.,fire department,Medium,0
Small fire in the engine compartment of a parked truck area.,fire department,Medium,0
Rescue of a kitten stuck on a high roof for two days now.,fire department,Medium,0
Large branch hanging dangerously over a busy village road.,fire department,Medium,0
Small fire in a temple lamps area; needs inspection today.,fire department,Medium,0
Rescue of an owl entangled in a kite string on a tree path.,fire department,Medium,0
Request for pumping out water from a flooded school ground.,fire department,Medium,0
Visible smoke from a ventilation shaft of a shopping mall.,fire department,Medium,0
Small oil leak from a tanker parked near the junction area.,fire department,Medium,0
Fire in a compost pit that is getting out of control now.,fire department,Medium,0
Rescue of a dog trapped in the middle of a flooded river.,fire department,Medium,0
Small amount of dry leaves are burning near the roadside.,fire department,Medium,0
Smoke detected in a school bus during the morning transit.,fire department,Medium,0
Rescue of a monkey trapped inside a residential balcony area.,fire department,Medium,0
Small fire in a trash bin at the Pampady bus stand center.,fire department,Medium,0
Rescue of a cow that has fallen into a deep agric trench.,fire department,Medium,0
Rescue of an elderly person who has fallen in the bathroom.,fire department,Medium,0
Smoke observed coming from the parked car in the lot area.,fire department,Medium,0
Small fire in a heap of dry leaves near the rubber plant.,fire department,Medium,0
Small fire in an electrical junction box in the market.,fire department,Medium,0
Fallen tree branch hanging dangerously over the highway.,fire department,Medium,0
Small oil leak from the tanker parked near the junction.,fire department,Medium,0
Small fire in a car's dashboard after a short circuit today.,fire department,Medium,0
Fallen tree blocking the pathway to the primary school gate.,fire department,Medium,0
Small fire in a garbage bin near the village park area today.,fire department,Medium,0
Rescue required for a person whose leg is stuck in a drain.,fire department,Medium,0
Fire at a small flower shop in the market area currently.,fire department,Medium,0
Rescue of a child trapped inside a locked bedroom tonight.,fire department,Medium,0
Fire in a parked scooter in the crowded market parking area.,fire department,Medium,0
Smoke detected in the kitchen exhaust of the restaurant.,fire department,Medium,0
Small fire in an electrical meter box in the lane tonight.,fire department,Medium,0
Rescue of an animal that has fallen into a dry open well.,fire department,Medium,0
Visible smoke from a dumpster near the petrol station area.,fire department,Medium,0
Rescue required for a kitten stuck in a deep drainage pipe.,fire department,Medium,0
Large beehive in the classroom of the primary school area.,fire department,Medium,0
Small oil spill on the highway curve near the junction path.,fire department,Medium,0
Small grass fire spreading towards the forest boundary area.,fire department,Medium,0
Fire in a parked truck's engine compartment on the highway.,fire department,Medium,0
Rescue of a person from the roof after the stairs broke down.,fire department,Medium,0
Large beehive near the main entrance of the village temple.,fire department,Medium,0
Rescue of an animal stuck in the middle of a muddy field.,fire department,Medium,0
Fire at a local fish market stall at night in the ward.,fire department,Medium,0
Rescue of a person whose foot is stuck in a bike wheel area.,fire department,Medium,0
Small fire in a heap of plastic waste near the school path.,fire department,Medium,0
Request for fire safety training for village volunteers.,fire department,Low,0
Request for fire NOC for a newly built commercial complex.,fire department,Low,0
Inquiry about the procedure for obtaining an explosive license.,fire department,Low,0
Request for a fire officer to inspect a new festival stage.,fire department,Low,0
Inquiry about the fire safety audit of a nursing home today.,fire department,Low,0
Request for information on disaster relief volunteer groups.,fire department,Low,0
Request for a standby fire tender for a local temple fair.,fire department,Low,0
Complaint about a blocked fire exit in a local auditorium.,fire department,Low,0
Request for a demo on using fire extinguishers at school.,fire department,Low,0
Query regarding the nearest fire station location currently.,fire department,Low,0
Inquiry about the fire safety guidelines for rural homes.,fire department,Low,0
Request for training for school kids on fire prevention.,fire department,Low,0
Query on the fees for standby fire department services.,fire department,Low,0
Request for information on disaster management SOPs tonight.,fire department,Low,0
Complaint about a neighbor's dangerous firework storage.,fire department,Low,0
Request for a safety certificate for a new apartment block.,fire department,Low,0
Inquiry about the recruitment of fire department volunteers.,fire department,Low,0
Request for an awareness class on LPG cylinder safety tonight.,fire department,Low,0
Query on how to report a non-emergency rescue incident today.,fire department,Low,0
Request for a demo on first-aid for burn victims at the hall.,fire department,Low,0
Inquiry about the types of fire extinguishers for home use.,fire department,Low,0
Request for information on the Civil Defence volunteer unit.,fire department,Low,0
Inquiry about the fire NOC renewal process for the shop.,fire department,Low,0
Request for a site visit by a fire officer for safety check.,fire department,Low,0
Complaint about the delayed receipt of a fire safety report.,fire department,Low,0
Inquiry about the training schedule for the local homeguards.,fire department,Low,0
Request for a brochure on kitchen fire safety for residents.,fire department,Low,0
Query about the use of fire hydrants in the village market.,fire department,Low,0
Request for a first-aid training session for ward members.,fire department,Low,0
Inquiry about the fire department's role in flood relief.,fire department,Low,0
Request for information on the 'Filament Free' bulb disposal.,fire department,Low,0
Complaint about the narrow road obstructing the fire engine.,fire department,Low,0
Inquiry about the fire safety standards for village fairs.,fire department,Low,0
Request for a demo on rescue knots for village volunteers.,fire department,Low,0
Inquiry about the contact number for the fire station officer.,fire department,Low,0
Request for a map showing the fire hydrant locations in ward.,fire department,Low,0
Query regarding the penalty for a false fire alarm call today.,fire department,Low,0
Inquiry about the fire safety audit for the local bank branch.,fire department,Low,0
Request for a guide on wildfire prevention in the plantation.,fire department,Low,0
Inquiry about the fire department's emergency response time.,fire department,Low,0
Request for a training session on using a fire blanket today.,fire department,Low,0
Query about the documents needed for an explosive license.,fire department,Low,0
Inquiry about the standby duty charges for a VVIP visit now.,fire department,Low,0
Request for information on the 'Safety First' awareness camp.,fire department,Low,0
Complaint about the lack of fire extinguishers in the hall.,fire department,Low,0
Inquiry about the fire safety rules for temporary sheds today.,fire department,Low,0
Request for a copy of the fire incident report for the insurance.,fire department,Low,0
Query regarding the recruitment of women in the fire service.,fire department,Low,0
Inquiry about the fire department's monsoon preparedness plan.,fire department,Low,0
Request for a demonstration of the rescue stretcher today.,fire department,Low,0
